"grid_id","cell_no","lon","lat","west","east","south","north","row_nc0","col_nc0","row_R1","col_R1","row_bbox_R1","col_bbox_R1","status","sea_fraction","center_at_sea","selected","selection_rule","crs_epsg"
"G025_R380_C1132",1,103.125,-5.125,103,103.25,-5.25,-5,380,1132,381,1133,1,1,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R380_C1133",2,103.375,-5.125,103.25,103.5,-5.25,-5,380,1133,381,1134,1,2,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R380_C1134",3,103.625,-5.125,103.5,103.75,-5.25,-5,380,1134,381,1135,1,3,"Pesisir campuran",0.99127005624152,TRUE,TRUE,"center",4326
"G025_R380_C1135",4,103.875,-5.125,103.75,104,-5.25,-5,380,1135,381,1136,1,4,"Pesisir campuran",0.499382204813315,TRUE,TRUE,"center",4326
"G025_R380_C1143",12,105.875,-5.125,105.75,106,-5.25,-5,380,1143,381,1144,1,12,"Pesisir campuran",0.533678250038577,TRUE,TRUE,"center",4326
"G025_R380_C1144",13,106.125,-5.125,106,106.25,-5.25,-5,380,1144,381,1145,1,13,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R380_C1145",14,106.375,-5.125,106.25,106.5,-5.25,-5,380,1145,381,1146,1,14,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R380_C1146",15,106.625,-5.125,106.5,106.75,-5.25,-5,380,1146,381,1147,1,15,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R380_C1147",16,106.875,-5.125,106.75,107,-5.25,-5,380,1147,381,1148,1,16,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R381_C1132",17,103.125,-5.375,103,103.25,-5.5,-5.25,381,1132,382,1133,2,1,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R381_C1133",18,103.375,-5.375,103.25,103.5,-5.5,-5.25,381,1133,382,1134,2,2,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R381_C1134",19,103.625,-5.375,103.5,103.75,-5.5,-5.25,381,1134,382,1135,2,3,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R381_C1135",20,103.875,-5.375,103.75,104,-5.5,-5.25,381,1135,382,1136,2,4,"Pesisir campuran",0.994861382636172,TRUE,TRUE,"center",4326
"G025_R381_C1143",28,105.875,-5.375,105.75,106,-5.5,-5.25,381,1143,382,1144,2,12,"Pesisir campuran",0.630999265025484,TRUE,TRUE,"center",4326
"G025_R381_C1144",29,106.125,-5.375,106,106.25,-5.5,-5.25,381,1144,382,1145,2,13,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R381_C1145",30,106.375,-5.375,106.25,106.5,-5.5,-5.25,381,1145,382,1146,2,14,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R381_C1146",31,106.625,-5.375,106.5,106.75,-5.5,-5.25,381,1146,382,1147,2,15,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R381_C1147",32,106.875,-5.375,106.75,107,-5.5,-5.25,381,1147,382,1148,2,16,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R382_C1132",33,103.125,-5.625,103,103.25,-5.75,-5.5,382,1132,383,1133,3,1,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R382_C1133",34,103.375,-5.625,103.25,103.5,-5.75,-5.5,382,1133,383,1134,3,2,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R382_C1134",35,103.625,-5.625,103.5,103.75,-5.75,-5.5,382,1134,383,1135,3,3,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R382_C1135",36,103.875,-5.625,103.75,104,-5.75,-5.5,382,1135,383,1136,3,4,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R382_C1136",37,104.125,-5.625,104,104.25,-5.75,-5.5,382,1136,383,1137,3,5,"Pesisir campuran",0.977874550002699,TRUE,TRUE,"center",4326
"G025_R382_C1138",39,104.625,-5.625,104.5,104.75,-5.75,-5.5,382,1138,383,1139,3,7,"Pesisir campuran",0.641246883475925,TRUE,TRUE,"center",4326
"G025_R382_C1141",42,105.375,-5.625,105.25,105.5,-5.75,-5.5,382,1141,383,1142,3,10,"Pesisir campuran",0.750453779827276,TRUE,TRUE,"center",4326
"G025_R382_C1143",44,105.875,-5.625,105.75,106,-5.75,-5.5,382,1143,383,1144,3,12,"Pesisir campuran",0.707156866435606,TRUE,TRUE,"center",4326
"G025_R382_C1144",45,106.125,-5.625,106,106.25,-5.75,-5.5,382,1144,383,1145,3,13,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R382_C1145",46,106.375,-5.625,106.25,106.5,-5.75,-5.5,382,1145,383,1146,3,14,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R382_C1146",47,106.625,-5.625,106.5,106.75,-5.75,-5.5,382,1146,383,1147,3,15,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R382_C1147",48,106.875,-5.625,106.75,107,-5.75,-5.5,382,1147,383,1148,3,16,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R383_C1132",49,103.125,-5.875,103,103.25,-6,-5.75,383,1132,384,1133,4,1,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R383_C1133",50,103.375,-5.875,103.25,103.5,-6,-5.75,383,1133,384,1134,4,2,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R383_C1134",51,103.625,-5.875,103.5,103.75,-6,-5.75,383,1134,384,1135,4,3,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R383_C1135",52,103.875,-5.875,103.75,104,-6,-5.75,383,1135,384,1136,4,4,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R383_C1136",53,104.125,-5.875,104,104.25,-6,-5.75,383,1136,384,1137,4,5,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R383_C1137",54,104.375,-5.875,104.25,104.5,-6,-5.75,383,1137,384,1138,4,6,"Pesisir campuran",0.970238230491774,TRUE,TRUE,"center",4326
"G025_R383_C1139",56,104.875,-5.875,104.75,105,-6,-5.75,383,1139,384,1140,4,8,"Pesisir campuran",0.945791953857095,TRUE,TRUE,"center",4326
"G025_R383_C1140",57,105.125,-5.875,105,105.25,-6,-5.75,383,1140,384,1141,4,9,"Pesisir campuran",0.938193535501952,TRUE,TRUE,"center",4326
"G025_R383_C1141",58,105.375,-5.875,105.25,105.5,-6,-5.75,383,1141,384,1142,4,10,"Pesisir campuran",0.950148390726238,TRUE,TRUE,"center",4326
"G025_R383_C1142",59,105.625,-5.875,105.5,105.75,-6,-5.75,383,1142,384,1143,4,11,"Pesisir campuran",0.764755169481358,TRUE,TRUE,"center",4326
"G025_R383_C1143",60,105.875,-5.875,105.75,106,-6,-5.75,383,1143,384,1144,4,12,"Pesisir campuran",0.901683528055635,TRUE,TRUE,"center",4326
"G025_R383_C1144",61,106.125,-5.875,106,106.25,-6,-5.75,383,1144,384,1145,4,13,"Pesisir campuran",0.782305243788452,TRUE,TRUE,"center",4326
"G025_R383_C1145",62,106.375,-5.875,106.25,106.5,-6,-5.75,383,1145,384,1146,4,14,"Pesisir campuran",0.921498983805832,TRUE,TRUE,"center",4326
"G025_R383_C1146",63,106.625,-5.875,106.5,106.75,-6,-5.75,383,1146,384,1147,4,15,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R383_C1147",64,106.875,-5.875,106.75,107,-6,-5.75,383,1147,384,1148,4,16,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R384_C1132",65,103.125,-6.125,103,103.25,-6.25,-6,384,1132,385,1133,5,1,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R384_C1133",66,103.375,-6.125,103.25,103.5,-6.25,-6,384,1133,385,1134,5,2,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R384_C1134",67,103.625,-6.125,103.5,103.75,-6.25,-6,384,1134,385,1135,5,3,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R384_C1135",68,103.875,-6.125,103.75,104,-6.25,-6,384,1135,385,1136,5,4,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R384_C1136",69,104.125,-6.125,104,104.25,-6.25,-6,384,1136,385,1137,5,5,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R384_C1137",70,104.375,-6.125,104.25,104.5,-6.25,-6,384,1137,385,1138,5,6,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R384_C1138",71,104.625,-6.125,104.5,104.75,-6.25,-6,384,1138,385,1139,5,7,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R384_C1139",72,104.875,-6.125,104.75,105,-6.25,-6,384,1139,385,1140,5,8,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R384_C1140",73,105.125,-6.125,105,105.25,-6.25,-6,384,1140,385,1141,5,9,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R384_C1141",74,105.375,-6.125,105.25,105.5,-6.25,-6,384,1141,385,1142,5,10,"Pesisir campuran",0.966581476933714,TRUE,TRUE,"center",4326
"G025_R384_C1142",75,105.625,-6.125,105.5,105.75,-6.25,-6,384,1142,385,1143,5,11,"Laut penuh",1,TRUE,TRUE,"center",4326
"G025_R385_C1132",81,103.125,-6.375,103,103.25,-6.5,-6.25,385,1132,386,1133,6,1,"Laut penuh",1,TRUE,TRUE,"center",4326
