grid_id,lon,lat,n_months,n_available,mean_chla_mg_m3,median_chla_mg_m3,mean_valid_pixel_fraction,n_missing,availability_fraction,review_flag
G025_R380_C1132,103.125,-5.125,276,274,0.2853044664233581,0.15016348259956805,0.9619565217391305,2,0.9927536231884058,keep
G025_R380_C1133,103.375,-5.125,276,273,0.3449531598012806,0.1898127087810931,0.9491747181964574,3,0.9891304347826086,keep
G025_R380_C1134,103.625,-5.125,276,266,0.490575666751528,0.26989088203225997,0.9089170692431562,10,0.9637681159420289,keep
G025_R380_C1135,103.875,-5.125,276,248,0.8220710345225237,0.34642571681904233,0.4615539452495974,28,0.8985507246376812,keep
G025_R380_C1143,105.875,-5.125,276,256,2.861821816956862,2.656026988960824,0.5025161030595813,20,0.927536231884058,keep
G025_R380_C1144,106.125,-5.125,276,268,1.3391537305796566,1.1581599772951248,0.8627214170692432,8,0.9710144927536232,keep
G025_R380_C1145,106.375,-5.125,276,268,0.8918130732281896,0.671587499127159,0.8832528180354267,8,0.9710144927536232,keep
G025_R380_C1146,106.625,-5.125,276,266,0.7691912529393812,0.5926068856413718,0.8809380032206119,10,0.9637681159420289,keep
G025_R380_C1147,106.875,-5.125,276,266,0.6855072758612434,0.5684250536500639,0.8651368760064412,10,0.9637681159420289,keep
G025_R381_C1132,103.125,-5.375,276,273,0.2682504909573942,0.1317718446055499,0.9454508856682771,3,0.9891304347826086,keep
G025_R381_C1133,103.375,-5.375,276,275,0.2878665358066735,0.1413190747711576,0.9501811594202898,1,0.9963768115942029,keep
G025_R381_C1134,103.625,-5.375,276,272,0.3225982784896073,0.1615212920130863,0.9444444444444445,4,0.9855072463768116,keep
G025_R381_C1135,103.875,-5.375,276,266,0.5211898391845012,0.23844537707900093,0.9004629629629629,10,0.9637681159420289,keep
G025_R381_C1143,105.875,-5.375,276,259,1.9987899299126746,2.018638521781851,0.6068840579710145,17,0.9384057971014492,keep
G025_R381_C1144,106.125,-5.375,276,267,0.8561527511410001,0.7287807429084132,0.8882850241545893,9,0.967391304347826,keep
