month,n_grids,n_available,mean_chla_mg_m3,mean_valid_pixel_fraction,n_missing,availability_fraction
2003-01-01,148,148,0.2873148304257933,0.9795420420420421,0,1.0
2003-02-01,148,148,0.39982133968950745,0.9485735735735735,0,1.0
2003-03-01,148,148,0.4067940810990541,0.9722222222222222,0,1.0
2003-04-01,148,148,0.2972949647220042,0.9791666666666666,0,1.0
2003-05-01,148,148,0.32817522123484383,0.984421921921922,0,1.0
2003-06-01,148,148,0.4850379994174078,0.9759759759759761,0,1.0
2003-07-01,148,148,1.3274644081283973,0.981418918918919,0,1.0
2003-08-01,148,148,0.8771233833938652,0.9697822822822822,0,1.0
2003-09-01,148,148,0.48057453356941393,0.9406906906906908,0,1.0
2003-10-01,148,133,0.26733103331514774,0.7240990990990991,15,0.8986486486486487
2003-11-01,148,143,0.34102738397680643,0.8468468468468469,5,0.9662162162162162
2003-12-01,148,148,0.38430606860066285,0.9669669669669669,0,1.0
2004-01-01,148,148,0.5128401168247733,0.9752252252252253,0,1.0
2004-02-01,148,132,0.5868884844868598,0.6512762762762763,16,0.8918918918918919
2004-03-01,148,148,0.33496240615395845,0.9705330330330331,0,1.0
2004-04-01,148,148,0.3435251963886018,0.9787912912912913,0,1.0
2004-05-01,148,148,0.2977893200758876,0.9832957957957957,0,1.0
2004-06-01,148,148,0.3582993558781994,0.9786036036036037,0,1.0
2004-07-01,148,148,0.3930651884179316,0.9776651651651652,0,1.0
2004-08-01,148,148,0.5007238135035259,0.9440690690690691,0,1.0
2004-09-01,148,148,0.4040812385730142,0.9095345345345346,0,1.0
2004-10-01,148,148,0.36948851147618045,0.8669294294294293,0,1.0
2004-11-01,148,126,0.34355191014027037,0.5771396396396397,22,0.8513513513513513
2004-12-01,148,148,0.2845875809271476,0.9134759759759761,0,1.0
2005-01-01,148,148,0.34369201367385926,0.9388138138138139,0,1.0
2005-02-01,148,148,0.46416751106204635,0.9643393393393394,0,1.0
2005-03-01,148,148,0.3564199818186591,0.9740990990990991,0,1.0
2005-04-01,148,148,0.29671008653716174,0.9780405405405406,0,1.0
2005-05-01,148,148,0.3335899622621875,0.9812312312312312,0,1.0
2005-06-01,148,148,0.37302467951214696,0.9744744744744746,0,1.0
2005-07-01,148,148,0.3804942010624598,0.9759759759759761,0,1.0
2005-08-01,148,148,0.40159843547820534,0.9804804804804805,0,1.0
2005-09-01,148,148,0.275162857244001,0.8909534534534534,0,1.0
2005-10-01,148,117,0.37524684023632804,0.5840840840840841,31,0.7905405405405406
