month,raw_subset,status,n_daily_files
2003-01-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2003\oisst_daily_subset_200301_v1.nc,ok,31
2003-02-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2003\oisst_daily_subset_200302_v1.nc,ok,28
2003-03-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2003\oisst_daily_subset_200303_v1.nc,ok,31
2003-04-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2003\oisst_daily_subset_200304_v1.nc,ok,30
2003-05-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2003\oisst_daily_subset_200305_v1.nc,ok,31
2003-06-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2003\oisst_daily_subset_200306_v1.nc,ok,30
2003-07-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2003\oisst_daily_subset_200307_v1.nc,ok,31
2003-08-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2003\oisst_daily_subset_200308_v1.nc,ok,31
2003-09-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2003\oisst_daily_subset_200309_v1.nc,ok,30
2003-10-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2003\oisst_daily_subset_200310_v1.nc,ok,31
2003-11-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2003\oisst_daily_subset_200311_v1.nc,ok,30
2003-12-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2003\oisst_daily_subset_200312_v1.nc,ok,31
2004-01-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2004\oisst_daily_subset_200401_v1.nc,ok,31
2004-02-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2004\oisst_daily_subset_200402_v1.nc,ok,29
2004-03-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2004\oisst_daily_subset_200403_v1.nc,ok,31
2004-04-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2004\oisst_daily_subset_200404_v1.nc,ok,30
