grid_id,lon,lat,n_months,n_sst_available,n_anomaly_available,mean_sst_c,mean_sst_anomaly_c,mean_valid_day_fraction,n_sst_missing,sst_availability_fraction,review_flag
G025_R380_C1132,103.125,-5.125,276,276,276,28.992923715809596,0.2834458884120681,1.0,0,1.0,keep
G025_R380_C1133,103.375,-5.125,276,276,276,29.002874626980105,0.2902153654641268,1.0,0,1.0,keep
G025_R380_C1134,103.625,-5.125,276,276,276,28.999470699669132,0.28030539657986586,1.0,0,1.0,keep
G025_R380_C1135,103.875,-5.125,276,276,276,28.97939688717434,0.25054055169699463,1.0,0,1.0,keep
G025_R380_C1143,105.875,-5.125,276,276,276,29.343378714217206,0.4587358490323826,1.0,0,1.0,keep
G025_R380_C1144,106.125,-5.125,276,276,276,29.335836433956647,0.41170292512370193,1.0,0,1.0,keep
G025_R380_C1145,106.375,-5.125,276,276,276,29.327292776387598,0.36376597220626217,1.0,0,1.0,keep
G025_R380_C1146,106.625,-5.125,276,276,276,29.31832085225316,0.33479695457746816,1.0,0,1.0,keep
G025_R380_C1147,106.875,-5.125,276,276,276,29.307095666608294,0.32280123989003784,1.0,0,1.0,keep
G025_R381_C1132,103.125,-5.375,276,276,276,28.936506255533,0.26482886963397817,1.0,0,1.0,keep
G025_R381_C1133,103.375,-5.375,276,276,276,28.95459440347947,0.28201569443956664,1.0,0,1.0,keep
G025_R381_C1134,103.625,-5.375,276,276,276,28.953539834607284,0.2752531677923733,1.0,0,1.0,keep
G025_R381_C1135,103.875,-5.375,276,276,276,28.93528067511083,0.2460452042041045,1.0,0,1.0,keep
G025_R381_C1143,105.875,-5.375,276,276,276,29.313147485502263,0.450075656082911,1.0,0,1.0,keep
G025_R381_C1144,106.125,-5.375,276,276,276,29.31109538919282,0.4054108276981592,1.0,0,1.0,keep
G025_R381_C1145,106.375,-5.375,276,276,276,29.30883184156376,0.36044842143539324,1.0,0,1.0,keep
G025_R381_C1146,106.625,-5.375,276,276,276,29.305577195064874,0.33394761949357077,1.0,0,1.0,keep
G025_R381_C1147,106.875,-5.375,276,276,276,29.30016020227253,0.3249468921293598,1.0,0,1.0,keep
G025_R382_C1132,103.125,-5.625,276,276,276,28.8705477263101,0.23271546167842252,1.0,0,1.0,keep
G025_R382_C1133,103.375,-5.625,276,276,276,28.889784055067853,0.2517096974631091,1.0,0,1.0,keep
G025_R382_C1134,103.625,-5.625,276,276,276,28.89058733220383,0.24696738893937398,1.0,0,1.0,keep
G025_R382_C1135,103.875,-5.625,276,276,276,28.87698566040415,0.22252878086846212,1.0,0,1.0,keep
G025_R382_C1136,104.125,-5.625,276,276,276,28.867082915351073,0.20185900448480487,1.0,0,1.0,keep
G025_R382_C1138,104.625,-5.625,276,276,276,28.902962225136164,0.21163810336600203,1.0,0,1.0,keep
G025_R382_C1141,105.375,-5.625,276,276,276,29.142328203960492,0.3919198449725186,1.0,0,1.0,keep
G025_R382_C1143,105.875,-5.625,276,276,276,29.27178162957382,0.4536774288163688,1.0,0,1.0,keep
G025_R382_C1144,106.125,-5.625,276,276,276,29.279498876365523,0.4228852909255782,1.0,0,1.0,keep
G025_R382_C1145,106.375,-5.625,276,276,276,29.283679013092197,0.3885215351658579,1.0,0,1.0,keep
G025_R382_C1146,106.625,-5.625,276,276,276,29.285723151995143,0.3688816077144724,1.0,0,1.0,keep
G025_R382_C1147,106.875,-5.625,276,276,276,29.284570878619846,0.3627775102818969,1.0,0,1.0,keep
G025_R383_C1132,103.125,-5.875,276,276,276,28.799903702705905,0.19227061157775185,1.0,0,1.0,keep
G025_R383_C1133,103.375,-5.875,276,276,276,28.815267354409027,0.20608718966459025,1.0,0,1.0,keep
G025_R383_C1134,103.625,-5.875,276,276,276,28.817648309794087,0.20283430604929018,1.0,0,1.0,keep
G025_R383_C1135,103.875,-5.875,276,276,276,28.81040513379523,0.18606429715291403,1.0,0,1.0,keep
G025_R383_C1136,104.125,-5.875,276,276,276,28.815473452981625,0.1816408484059389,1.0,0,1.0,keep
G025_R383_C1137,104.375,-5.875,276,276,276,28.845048827400753,0.20175080557506916,1.0,0,1.0,keep
G025_R383_C1139,104.875,-5.875,276,276,276,28.975184503901957,0.30404547218049194,1.0,0,1.0,keep
G025_R383_C1140,105.125,-5.875,276,276,276,29.06945890314398,0.3829303523395444,1.0,0,1.0,keep
G025_R383_C1141,105.375,-5.875,276,276,276,29.13817864732297,0.43625012335833535,1.0,0,1.0,keep
G025_R383_C1142,105.625,-5.875,276,276,276,29.17871516093202,0.4555964594996374,1.0,0,1.0,keep
G025_R383_C1143,105.875,-5.875,276,276,276,29.225157710150917,0.4751316370684432,1.0,0,1.0,keep
G025_R383_C1144,106.125,-5.875,276,276,276,29.254109971832293,0.4769999774196808,1.0,0,1.0,keep
G025_R383_C1145,106.375,-5.875,276,276,276,29.264185009040382,0.46018498817065107,1.0,0,1.0,keep
G025_R383_C1146,106.625,-5.875,276,276,276,29.27001697510736,0.4505034703984631,1.0,0,1.0,keep
G025_R383_C1147,106.875,-5.875,276,276,276,29.27275861458649,0.4490735898549787,1.0,0,1.0,keep
G025_R384_C1132,103.125,-6.125,276,276,276,28.736929106357692,0.1594582412570405,1.0,0,1.0,keep
G025_R384_C1133,103.375,-6.125,276,276,276,28.74932789919441,0.16888878729117507,1.0,0,1.0,keep
G025_R384_C1134,103.625,-6.125,276,276,276,28.754619906740412,0.1685465431384289,1.0,0,1.0,keep
G025_R384_C1135,103.875,-6.125,276,276,276,28.75765808239046,0.1634270002835067,1.0,0,1.0,keep
G025_R384_C1136,104.125,-6.125,276,276,276,28.77635007909424,0.1738219408568735,1.0,0,1.0,keep
G025_R384_C1137,104.375,-6.125,276,276,276,28.824983401021004,0.21429567428853355,1.0,0,1.0,keep
G025_R384_C1138,104.625,-6.125,276,276,276,28.898482042374372,0.2780634216337185,1.0,0,1.0,keep
G025_R384_C1139,104.875,-6.125,276,276,276,28.987287264205573,0.3559272759770334,1.0,0,1.0,keep
G025_R384_C1140,105.125,-6.125,276,276,276,29.071368606896165,0.42893637145212754,1.0,0,1.0,keep
G025_R384_C1141,105.375,-6.125,276,276,276,29.12717005813031,0.47364014260837367,1.0,0,1.0,keep
G025_R384_C1142,105.625,-6.125,276,276,276,29.158988659231646,0.49227944907043236,1.0,0,1.0,keep
G025_R385_C1132,103.125,-6.375,276,276,276,28.684315205559834,0.1369627949818243,1.0,0,1.0,keep
G025_R385_C1133,103.375,-6.375,276,276,276,28.695461858268317,0.14379661149918893,1.0,0,1.0,keep
G025_R385_C1134,103.625,-6.375,276,276,276,28.705751063424792,0.14845640425594614,1.0,0,1.0,keep
G025_R385_C1135,103.875,-6.375,276,276,276,28.720447112910108,0.1562411335317881,1.0,0,1.0,keep
G025_R385_C1136,104.125,-6.375,276,276,276,28.751675851155884,0.18065772028035426,1.0,0,1.0,keep
G025_R385_C1137,104.375,-6.375,276,276,276,28.80926019017753,0.23125230087019177,1.0,0,1.0,keep
G025_R385_C1138,104.625,-6.375,276,276,276,28.885168715781585,0.3003549700191897,1.0,0,1.0,keep
G025_R385_C1139,104.875,-6.375,276,276,276,28.96548668375698,0.3738736685624064,1.0,0,1.0,keep
G025_R385_C1140,105.125,-6.375,276,276,276,29.02575031949355,0.4274570848094294,1.0,0,1.0,keep
G025_R385_C1141,105.375,-6.375,276,276,276,29.05340901391038,0.44834594830226426,1.0,0,1.0,keep
G025_R385_C1142,105.625,-6.375,276,276,276,29.07221523979073,0.4619459554557683,1.0,0,1.0,keep
G025_R386_C1132,103.125,-6.625,276,276,276,28.646182690340222,0.1347632017758818,1.0,0,1.0,keep
G025_R386_C1133,103.375,-6.625,276,276,276,28.65830327248343,0.14229920048886593,1.0,0,1.0,keep
G025_R386_C1134,103.625,-6.625,276,276,276,28.672914896962364,0.15196204317312212,1.0,0,1.0,keep
G025_R386_C1135,103.875,-6.625,276,276,276,28.6957847505906,0.1699309838723396,1.0,0,1.0,keep
G025_R386_C1136,104.125,-6.625,276,276,276,28.730474052345148,0.1995550084037193,1.0,0,1.0,keep
G025_R386_C1137,104.375,-6.625,276,276,276,28.78015029417519,0.24414597277669386,1.0,0,1.0,keep
G025_R386_C1138,104.625,-6.625,276,276,276,28.835557026322096,0.29585591046794163,1.0,0,1.0,keep
G025_R386_C1139,104.875,-6.625,276,276,276,28.88040818696818,0.3379906497153354,1.0,0,1.0,keep
G025_R386_C1141,105.375,-6.625,276,276,276,28.881569045840088,0.3337628764294501,1.0,0,1.0,keep
G025_R387_C1132,103.125,-6.875,276,276,276,28.62065512079826,0.15084444725405635,1.0,0,1.0,keep
G025_R387_C1133,103.375,-6.875,276,276,276,28.63252212677499,0.15884269462153605,1.0,0,1.0,keep
G025_R387_C1134,103.625,-6.875,276,276,276,28.648112302699946,0.17118312852512596,1.0,0,1.0,keep
G025_R387_C1135,103.875,-6.875,276,276,276,28.670852334354304,0.19150449119252136,1.0,0,1.0,keep
G025_R387_C1136,104.125,-6.875,276,276,276,28.697564403264728,0.21568375005778948,1.0,0,1.0,keep
G025_R387_C1137,104.375,-6.875,276,276,276,28.725130257896794,0.24065845765962818,1.0,0,1.0,keep
G025_R387_C1138,104.625,-6.875,276,276,276,28.745358826371035,0.26021079483549386,1.0,0,1.0,keep
G025_R387_C1139,104.875,-6.875,276,276,276,28.743726625471908,0.2598802079738103,1.0,0,1.0,keep
G025_R387_C1140,105.125,-6.875,276,276,276,28.713127361099748,0.23044163058753384,1.0,0,1.0,keep
G025_R387_C1141,105.375,-6.875,276,276,276,28.655499791206786,0.17395821662761413,1.0,0,1.0,keep
G025_R387_C1142,105.625,-6.875,276,276,276,28.571416959794615,0.09729173499722811,1.0,0,1.0,keep
G025_R387_C1143,105.875,-6.875,276,276,276,28.41385896196654,-0.04665713838385135,1.0,0,1.0,keep
G025_R388_C1132,103.125,-7.125,276,276,276,28.59401175091478,0.16585389114616364,1.0,0,1.0,keep
G025_R388_C1133,103.375,-7.125,276,276,276,28.604725299467827,0.1733781646544855,1.0,0,1.0,keep
