grid_id,lon,lat,n_months,n_wind_available,mean_u10_m_s,mean_v10_m_s,mean_wind_speed_m_s,n_wind_missing,wind_availability_fraction,review_flag
G025_R380_C1132,103.125,-5.125,276,276,-0.32437657273334003,0.476863626120747,3.5295633844316563,0,1.0,keep
G025_R380_C1133,103.375,-5.125,276,276,-0.1792491242505502,0.5126620721125948,3.1207763603540255,0,1.0,keep
G025_R380_C1134,103.625,-5.125,276,276,0.1506733168726382,0.6470862540645875,2.58990280100736,0,1.0,keep
G025_R380_C1135,103.875,-5.125,276,276,0.2295201239378556,0.44937303791875427,1.45142275947949,0,1.0,keep
G025_R380_C1143,105.875,-5.125,276,276,-0.011919031972470495,0.32857827172763104,1.2099258893468088,0,1.0,keep
G025_R380_C1144,106.125,-5.125,276,276,-0.29256044954493426,0.5071865993997325,2.3536228273514737,0,1.0,keep
G025_R380_C1145,106.375,-5.125,276,276,-0.29221723736196326,0.4677030452783557,2.891391485599804,0,1.0,keep
G025_R380_C1146,106.625,-5.125,276,276,-0.32084361021069513,0.363559377366218,3.1679288374153307,0,1.0,keep
G025_R380_C1147,106.875,-5.125,276,276,-0.3595452066780864,0.2966772300609644,3.359871581842851,0,1.0,keep
G025_R381_C1132,103.125,-5.375,276,276,-0.485410313675369,0.7364771055138629,3.8002726610845547,0,1.0,keep
G025_R381_C1133,103.375,-5.375,276,276,-0.42378072807754297,0.6142174955727397,3.746269479365815,0,1.0,keep
G025_R381_C1134,103.625,-5.375,276,276,-0.1599071716916734,0.7134677361750948,3.617359943439786,0,1.0,keep
G025_R381_C1135,103.875,-5.375,276,276,0.09146567704021068,0.6201281754866891,2.7155001938611285,0,1.0,keep
G025_R381_C1143,105.875,-5.375,276,276,0.11662100709002951,0.34965043828107306,1.1841693691602913,0,1.0,keep
G025_R381_C1144,106.125,-5.375,276,276,-0.08274458111196323,0.4727981539740079,2.19647155801715,0,1.0,keep
G025_R381_C1145,106.375,-5.375,276,276,-0.05913370588551394,0.3999575601107832,2.6708669575356954,0,1.0,keep
G025_R381_C1146,106.625,-5.375,276,276,-0.09065969093986179,0.3127568977466528,2.9966490548353333,0,1.0,keep
G025_R381_C1147,106.875,-5.375,276,276,-0.1888378357541734,0.26922910109810205,3.2379399490779055,0,1.0,keep
G025_R382_C1132,103.125,-5.625,276,276,-0.7330414419588835,0.9671846887339717,4.094827861969287,0,1.0,keep
G025_R382_C1133,103.375,-5.625,276,276,-0.6135027615920358,0.8610666662022688,3.9935437094883617,0,1.0,keep
G025_R382_C1134,103.625,-5.625,276,276,-0.5021127168683038,0.7340392375337905,3.9338794039442844,0,1.0,keep
G025_R382_C1135,103.875,-5.625,276,276,-0.3050434658492821,0.6931545285211094,3.8041298780678723,0,1.0,keep
G025_R382_C1136,104.125,-5.625,276,276,-0.06130266535109367,0.47900251029194263,2.945626664169805,0,1.0,keep
G025_R382_C1138,104.625,-5.625,276,276,0.060343054757601974,0.23872390691784845,1.1110977490016012,0,1.0,keep
G025_R382_C1141,105.375,-5.625,276,276,0.3379645589469136,0.6046517828236455,1.0495340257489447,0,1.0,keep
G025_R382_C1143,105.875,-5.625,276,276,0.2749479715374933,0.40643082494321076,1.2041366444379213,0,1.0,keep
G025_R382_C1144,106.125,-5.625,276,276,0.2000622576561527,0.4213711697122325,2.0923238866732876,0,1.0,keep
G025_R382_C1145,106.375,-5.625,276,276,0.23954404264256574,0.3314301172892253,2.559045023558922,0,1.0,keep
G025_R382_C1146,106.625,-5.625,276,276,0.11405753052752952,0.2010961753734644,2.810029257839521,0,1.0,keep
G025_R382_C1147,106.875,-5.625,276,276,-0.024251671804898022,0.15937997292781222,3.0684611287964287,0,1.0,keep
G025_R383_C1132,103.125,-5.875,276,276,-1.0240163768547168,1.132519196772921,4.268761126544583,0,1.0,keep
G025_R383_C1133,103.375,-5.875,276,276,-0.8971517086029053,1.1338566628055295,4.3006258154554375,0,1.0,keep
G025_R383_C1134,103.625,-5.875,276,276,-0.7625205378601516,1.0727613559667615,4.22346667751113,0,1.0,keep
G025_R383_C1135,103.875,-5.875,276,276,-0.7233625045721082,0.9664080384848774,4.185182688835021,0,1.0,keep
G025_R383_C1136,104.125,-5.875,276,276,-0.49850898894710816,0.8296715971352397,4.1010341775326395,0,1.0,keep
G025_R383_C1137,104.375,-5.875,276,276,-0.2137083350748256,0.6615170879640441,3.478386643475167,0,1.0,keep
G025_R383_C1139,104.875,-5.875,276,276,0.205705798190573,0.7881553069404934,2.0614450113935012,0,1.0,keep
G025_R383_C1140,105.125,-5.875,276,276,0.45919276320415997,1.1915410774341528,2.395769382619292,0,1.0,keep
G025_R383_C1141,105.375,-5.875,276,276,0.7410778826561527,1.405468415522921,2.5197409818740413,0,1.0,keep
G025_R383_C1142,105.625,-5.875,276,276,0.7705410563427469,1.244144536446834,2.083955793883835,0,1.0,keep
G025_R383_C1143,105.875,-5.875,276,276,0.5495884833128556,0.6132179343182108,1.3391809245062383,0,1.0,keep
G025_R383_C1144,106.125,-5.875,276,276,0.44222852803658746,0.23357041676839194,1.7469152354044528,0,1.0,keep
G025_R383_C1145,106.375,-5.875,276,276,0.5059209250021672,0.06687190567237744,2.158600935469963,0,1.0,keep
G025_R383_C1146,106.625,-5.875,276,276,0.3066172565239063,-0.10053072113921677,2.4003894795293115,0,1.0,keep
G025_R383_C1147,106.875,-5.875,276,276,0.09920918077662372,-0.17716257122979648,2.7200616651977216,0,1.0,keep
G025_R384_C1132,103.125,-6.125,276,276,-1.2094075679779053,1.2817528075066165,4.4234534620165356,0,1.0,keep
G025_R384_C1133,103.375,-6.125,276,276,-1.1840753244317097,1.248988427977631,4.408691346203152,0,1.0,keep
G025_R384_C1134,103.625,-6.125,276,276,-1.0727560451065286,1.2374218235845151,4.435795844026346,0,1.0,keep
G025_R384_C1135,103.875,-6.125,276,276,-0.9630396020585212,1.1729138554006382,4.3402656273384785,0,1.0,keep
G025_R384_C1136,104.125,-6.125,276,276,-0.8135919259942096,1.1019503137339717,4.3027627189246,0,1.0,keep
G025_R384_C1137,104.375,-6.125,276,276,-0.5422136990920358,1.0257554399794426,4.1531850368527214,0,1.0,keep
G025_R384_C1138,104.625,-6.125,276,276,-0.2849514000657676,1.0187815099522688,3.85264957770906,0,1.0,keep
G025_R384_C1139,104.875,-6.125,276,276,-0.047308807787687875,1.1903699100881382,3.5291008009416918,0,1.0,keep
G025_R384_C1140,105.125,-6.125,276,276,0.2125134295311527,1.3977496796760007,3.3660453936758725,0,1.0,keep
G025_R384_C1141,105.375,-6.125,276,276,0.44796229445415997,1.4810476303100586,3.1030497131512162,0,1.0,keep
G025_R384_C1142,105.625,-6.125,276,276,0.7245895447938339,1.4999384534531746,2.7527619898015376,0,1.0,keep
G025_R385_C1132,103.125,-6.375,276,276,-1.4071455520132314,1.3933020743770876,4.553681600540594,0,1.0,keep
G025_R385_C1133,103.375,-6.375,276,276,-1.3587579416192097,1.3865882071895876,4.543708426641879,0,1.0,keep
G025_R385_C1134,103.625,-6.375,276,276,-1.308972714603811,1.3767394328462905,4.535241381682406,0,1.0,keep
G025_R385_C1135,103.875,-6.375,276,276,-1.1993500357088835,1.3714904094087905,4.556460793616057,0,1.0,keep
G025_R385_C1136,104.125,-6.375,276,276,-1.071645028349282,1.349033010178718,4.482906756224587,0,1.0,keep
G025_R385_C1137,104.375,-6.375,276,276,-0.9051711973936661,1.4028483266415803,4.465340058323903,0,1.0,keep
G025_R385_C1138,104.625,-6.375,276,276,-0.6842858514923981,1.4373676880546238,4.317017192559943,0,1.0,keep
G025_R385_C1139,104.875,-6.375,276,276,-0.49868236417355744,1.5544525782267253,4.215166881127145,0,1.0,keep
G025_R385_C1140,105.125,-6.375,276,276,-0.2635147917097893,1.7078418869903123,4.000995603996512,0,1.0,keep
G025_R385_C1141,105.375,-6.375,276,276,-0.05625886156939078,1.7587027480636819,3.6476512791517877,0,1.0,keep
G025_R385_C1142,105.625,-6.375,276,276,0.2638094978056092,1.7290661991506382,3.217359975456825,0,1.0,keep
G025_R386_C1132,103.125,-6.625,276,276,-1.6088127848030864,1.4700400725654934,4.627438706880515,0,1.0,keep
G025_R386_C1133,103.375,-6.625,276,276,-1.5502933384715647,1.4928229926288992,4.669022479036408,0,1.0,keep
G025_R386_C1134,103.625,-6.625,276,276,-1.5056032201518184,1.4957668332086094,4.643844269685538,0,1.0,keep
G025_R386_C1135,103.875,-6.625,276,276,-1.4232836011527241,1.5197686872620513,4.664789148617031,0,1.0,keep
G025_R386_C1136,104.125,-6.625,276,276,-1.3542289561119631,1.561953710473102,4.683401761560981,0,1.0,keep
G025_R386_C1137,104.375,-6.625,276,276,-1.2213669203329778,1.6081245947575225,4.654695549982977,0,1.0,keep
G025_R386_C1138,104.625,-6.625,276,276,-1.1330640868864197,1.6942319317140442,4.634080956960232,0,1.0,keep
G025_R386_C1139,104.875,-6.625,276,276,-0.9621585728465647,1.8125198336615078,4.5387742066995616,0,1.0,keep
G025_R386_C1141,105.375,-6.625,276,276,-0.6175894633583401,2.094178503838138,4.269886900702335,0,1.0,keep
G025_R387_C1132,103.125,-6.875,276,276,-1.8055671297985574,1.5543092782946601,4.719478241671729,0,1.0,keep
G025_R387_C1133,103.375,-6.875,276,276,-1.757191903349282,1.5758874174477397,4.75075604989783,0,1.0,keep
G025_R387_C1134,103.625,-6.875,276,276,-1.713246590849282,1.5963651546533557,4.76913146474276,0,1.0,keep
G025_R387_C1135,103.875,-6.875,276,276,-1.6640504857768184,1.6270065722258196,4.775012639069684,0,1.0,keep
G025_R387_C1136,104.125,-6.875,276,276,-1.6059344022170357,1.6815490031587905,4.80432562538618,0,1.0,keep
G025_R387_C1137,104.375,-6.875,276,276,-1.566487999929898,1.743571336718573,4.817893420336689,0,1.0,keep
G025_R387_C1138,104.625,-6.875,276,276,-1.48013829148334,1.8313045087067976,4.803676617577298,0,1.0,keep
G025_R387_C1139,104.875,-6.875,276,276,-1.4470926194951155,1.9342398574386819,4.822419418071607,0,1.0,keep
G025_R387_C1140,105.125,-6.875,276,276,-1.3252982920494631,2.10376190793687,4.786439863174263,0,1.0,keep
G025_R387_C1141,105.375,-6.875,276,276,-1.250562954640043,2.2343470670174863,4.777606770641005,0,1.0,keep
G025_R387_C1142,105.625,-6.875,276,276,-1.0577095522396807,2.0363083300383193,4.15032547806164,0,1.0,keep
G025_R387_C1143,105.875,-6.875,276,276,-0.7363815687704778,1.6816852265510007,3.1799981189872635,0,1.0,keep
G025_R388_C1132,103.125,-7.125,276,276,-1.9875987336255503,1.6330640903417615,4.819749359439483,0,1.0,keep
G025_R388_C1133,103.375,-7.125,276,276,-1.9650847220766372,1.6505590659984644,4.826454542720253,0,1.0,keep
G025_R388_C1134,103.625,-7.125,276,276,-1.9237028861391372,1.6805865937385007,4.864055580406694,0,1.0,keep
G025_R388_C1135,103.875,-7.125,276,276,-1.8991472928420357,1.7056516979051672,4.879624020834801,0,1.0,keep
G025_R388_C1136,104.125,-7.125,276,276,-1.8558070244996443,1.7633060372394065,4.9127457408333335,0,1.0,keep
G025_R388_C1137,104.375,-7.125,276,276,-1.8279679167097893,1.8255565892095151,4.931266576197794,0,1.0,keep
G025_R388_C1138,104.625,-7.125,276,276,-1.8045198019000068,1.8853215065555295,4.953427367500004,0,1.0,keep
G025_R388_C1139,104.875,-7.125,276,276,-1.7714546694271807,1.9881878590238267,4.969948063258265,0,1.0,keep
G025_R388_C1140,105.125,-7.125,276,276,-1.7761039561119631,2.0615645007810732,4.9844763790410385,0,1.0,keep
G025_R388_C1141,105.375,-7.125,276,276,-1.7270529201065286,2.166675885518392,4.964026040760458,0,1.0,keep
G025_R388_C1142,105.625,-7.125,276,276,-1.7228246875431226,2.2363744956859644,4.93954924988549,0,1.0,keep
G025_R388_C1143,105.875,-7.125,276,276,-1.5857184969860574,2.2060709828915805,4.581061144646051,0,1.0,keep
G025_R388_C1144,106.125,-7.125,276,276,-1.2113960756771807,1.9886549106542615,3.901160844055174,0,1.0,keep
G025_R388_C1145,106.375,-7.125,276,276,-0.682019589603811,1.256694779879805,2.608937311929297,0,1.0,keep
G025_R389_C1132,103.125,-7.375,276,276,-2.1682681035304414,1.6911624825519065,4.903020859184921,0,1.0,keep
G025_R389_C1133,103.375,-7.375,276,276,-2.1524290381998257,1.7090236691461094,4.913444987273315,0,1.0,keep
G025_R389_C1134,103.625,-7.375,276,276,-2.1142068773076153,1.742900834567305,4.927837040406426,0,1.0,keep
G025_R389_C1135,103.875,-7.375,276,276,-2.1102740902831587,1.768620518670566,4.956881839207726,0,1.0,keep
G025_R389_C1136,104.125,-7.375,276,276,-2.072780812996021,1.8202368003734644,4.998054206515664,0,1.0,keep
G025_R389_C1137,104.375,-7.375,276,276,-2.0630311102106953,1.8587420228598774,5.025439649211571,0,1.0,keep
G025_R389_C1138,104.625,-7.375,276,276,-2.0473035003827964,1.906567048335421,5.036725443856481,0,1.0,keep
G025_R389_C1139,104.875,-7.375,276,276,-2.0535520850748257,1.952541558638863,5.070709399588616,0,1.0,keep
G025_R389_C1140,105.125,-7.375,276,276,-2.058174834735152,2.0299535972484644,5.100617970183532,0,1.0,keep
G025_R389_C1141,105.375,-7.375,276,276,-2.090399628100188,2.0561297181723774,5.104499207528824,0,1.0,keep
G025_R389_C1142,105.625,-7.375,276,276,-2.118893315826637,2.120244938394298,5.133611534941339,0,1.0,keep
G025_R389_C1143,105.875,-7.375,276,276,-2.1692358203556226,2.147586919259334,5.112222052428639,0,1.0,keep
G025_R389_C1144,106.125,-7.375,276,276,-2.1405404512433037,2.073907755423283,4.952246113904838,0,1.0,keep
G025_R389_C1145,106.375,-7.375,276,276,-1.6621415891509126,1.5290159557176672,3.9570531345109354,0,1.0,keep
G025_R390_C1132,103.125,-7.625,276,276,-2.3261810903963833,1.7417809721352397,4.9564253788494845,0,1.0,keep
G025_R390_C1133,103.375,-7.625,276,276,-2.3152902955594272,1.7580552446669426,4.981768780745148,0,1.0,keep
G025_R390_C1134,103.625,-7.625,276,276,-2.289252167162688,1.781108842379805,5.000349151193428,0,1.0,keep
