month,moran_i,p_value,n,series
2003-01-01,0.8961368722282408,0.001,148,Log Chl-a
2003-02-01,0.9048656656090098,0.001,148,Log Chl-a
2003-03-01,0.9122800905904248,0.001,148,Log Chl-a
2003-04-01,0.833189404783337,0.001,148,Log Chl-a
2003-05-01,0.8559462083123818,0.001,148,Log Chl-a
2003-06-01,0.8847914684022723,0.001,148,Log Chl-a
2003-07-01,0.6812128609231402,0.001,148,Log Chl-a
2003-08-01,0.6745271861950053,0.001,148,Log Chl-a
2003-09-01,0.74231787572398,0.001,148,Log Chl-a
2003-10-01,0.8563318354289468,0.001,133,Log Chl-a
2003-11-01,0.7578811920351746,0.001,143,Log Chl-a
2003-12-01,0.8832746146083938,0.001,148,Log Chl-a
2004-01-01,0.9165209720791965,0.001,148,Log Chl-a
2004-02-01,0.8586536737883735,0.001,132,Log Chl-a
2004-03-01,0.8399642263660292,0.001,148,Log Chl-a
2004-04-01,0.8493683578522429,0.001,148,Log Chl-a
2004-05-01,0.8268473956469629,0.001,148,Log Chl-a
2004-06-01,0.8510459479870887,0.001,148,Log Chl-a
2004-07-01,0.8562164770031081,0.001,148,Log Chl-a
2004-08-01,0.8353277718535592,0.001,148,Log Chl-a
2004-09-01,0.8268931550737199,0.001,148,Log Chl-a
2004-10-01,0.7829048983368271,0.001,148,Log Chl-a
2004-11-01,0.84931762483854,0.001,126,Log Chl-a
2004-12-01,0.8808476834320345,0.001,148,Log Chl-a
2005-01-01,0.9115673133626045,0.001,148,Log Chl-a
2005-02-01,0.9002979909636324,0.001,148,Log Chl-a
2005-03-01,0.8959589839992417,0.001,148,Log Chl-a
2005-04-01,0.8445319167214744,0.001,148,Log Chl-a
2005-05-01,0.8175972946934992,0.001,148,Log Chl-a
2005-06-01,0.857032570511039,0.001,148,Log Chl-a
2005-07-01,0.8758918203779649,0.001,148,Log Chl-a
2005-08-01,0.8311503657661774,0.001,148,Log Chl-a
2005-09-01,0.8022084932282514,0.001,148,Log Chl-a
2005-10-01,0.7955040938661544,0.001,117,Log Chl-a
2005-11-01,0.795732605096658,0.001,138,Log Chl-a
2005-12-01,0.8158080848722512,0.001,146,Log Chl-a
2006-01-01,0.8265171467314997,0.001,146,Log Chl-a
2006-02-01,0.9317240428142827,0.001,148,Log Chl-a
2006-03-01,0.9187674274490513,0.001,148,Log Chl-a
2006-04-01,0.8056773581621293,0.001,148,Log Chl-a
2006-05-01,0.8364862245751894,0.001,148,Log Chl-a
2006-06-01,0.8019459111983612,0.001,148,Log Chl-a
2006-07-01,0.820673432131306,0.001,148,Log Chl-a
2006-08-01,0.7710440122360596,0.001,148,Log Chl-a
2006-09-01,0.6823146099517148,0.001,144,Log Chl-a
2006-10-01,0.7258040054154209,0.001,148,Log Chl-a
2006-11-01,0.7651113792651711,0.001,147,Log Chl-a
2006-12-01,0.5563303278865159,0.001,143,Log Chl-a
2007-01-01,0.8062006040225316,0.001,148,Log Chl-a
2007-02-01,0.9165171962442004,0.001,148,Log Chl-a
2007-03-01,0.8716598436642675,0.001,148,Log Chl-a
2007-04-01,0.8244946077529101,0.001,148,Log Chl-a
2007-05-01,0.8340575105721492,0.001,148,Log Chl-a
2007-06-01,0.8877296308358393,0.001,148,Log Chl-a
2007-07-01,0.8640104620639586,0.001,148,Log Chl-a
2007-08-01,0.7350421727778034,0.001,148,Log Chl-a
2007-09-01,0.6345808752473052,0.001,146,Log Chl-a
2007-10-01,0.6016028934815567,0.001,137,Log Chl-a
2007-11-01,0.8851428927408062,0.001,148,Log Chl-a
2007-12-01,0.729682919458893,0.001,136,Log Chl-a
2008-01-01,0.8794288545310683,0.001,148,Log Chl-a
2008-02-01,0.8397062031522103,0.001,53,Log Chl-a
2008-03-01,0.8723922853503157,0.001,147,Log Chl-a
2008-04-01,0.8818912947728398,0.001,148,Log Chl-a
2008-05-01,0.8504342506499518,0.001,148,Log Chl-a
2008-06-01,0.8513922786612836,0.001,148,Log Chl-a
2008-07-01,0.7271701611998688,0.001,148,Log Chl-a
2008-08-01,0.7039148003352302,0.001,144,Log Chl-a
2008-09-01,0.7097104361624998,0.001,147,Log Chl-a
2008-10-01,0.7869157868978404,0.001,126,Log Chl-a
2008-11-01,0.8213417653694356,0.001,101,Log Chl-a
2008-12-01,0.89894115715505,0.001,146,Log Chl-a
2009-01-01,0.9348516918299609,0.001,148,Log Chl-a
2009-02-01,0.8915421971189225,0.001,146,Log Chl-a
2009-03-01,0.8848045519969737,0.001,148,Log Chl-a
2009-04-01,0.8215472192522421,0.001,148,Log Chl-a
2009-05-01,0.7950122844507619,0.001,148,Log Chl-a
2009-06-01,0.8565802682388619,0.001,148,Log Chl-a
2009-07-01,0.859236841637787,0.001,148,Log Chl-a
2009-08-01,0.8715982294616691,0.001,148,Log Chl-a
2009-09-01,0.7253386526527441,0.001,148,Log Chl-a
2009-10-01,0.8279265410614568,0.001,144,Log Chl-a
2009-11-01,0.8101332123080768,0.001,131,Log Chl-a
2009-12-01,0.8340514728203325,0.001,145,Log Chl-a
2010-01-01,0.8884833016349303,0.001,147,Log Chl-a
2010-02-01,0.9107306665902516,0.001,148,Log Chl-a
2010-03-01,0.8573112754888171,0.001,148,Log Chl-a
2010-04-01,0.8581049967667893,0.001,148,Log Chl-a
2010-05-01,0.8622599505601272,0.001,148,Log Chl-a
2010-06-01,0.8649745492605183,0.001,148,Log Chl-a
2010-07-01,0.8800235827024172,0.001,148,Log Chl-a
2010-08-01,0.8371153693809773,0.001,148,Log Chl-a
2010-09-01,0.8200136963395424,0.001,147,Log Chl-a
2010-10-01,0.8374180984619374,0.001,148,Log Chl-a
2010-11-01,0.7088441291741929,0.001,79,Log Chl-a
2010-12-01,0.8295846972995526,0.001,130,Log Chl-a
2011-01-01,0.9009199100813932,0.001,136,Log Chl-a
2011-02-01,0.9142587451903404,0.001,147,Log Chl-a
2011-03-01,0.8853611315505147,0.001,146,Log Chl-a
2011-04-01,0.8763936386883909,0.001,148,Log Chl-a
2011-05-01,0.8414344665379696,0.001,148,Log Chl-a
2011-06-01,0.8569988054281029,0.001,148,Log Chl-a
2011-07-01,0.8878964958503875,0.001,148,Log Chl-a
2011-08-01,0.7256458536715414,0.001,148,Log Chl-a
2011-09-01,0.8293657325582865,0.001,148,Log Chl-a
2011-10-01,0.5702575882387381,0.001,146,Log Chl-a
2011-11-01,0.7858404470991102,0.001,148,Log Chl-a
2011-12-01,0.8629901506377828,0.001,142,Log Chl-a
2012-01-01,0.8329685799657366,0.001,143,Log Chl-a
2012-02-01,0.9200566007301959,0.001,148,Log Chl-a
2012-03-01,0.8433234737987318,0.001,148,Log Chl-a
2012-04-01,0.8329495377023858,0.001,148,Log Chl-a
2012-05-01,0.8481670649797506,0.001,148,Log Chl-a
2012-06-01,0.8537631811019613,0.001,148,Log Chl-a
2012-07-01,0.8751584542474133,0.001,148,Log Chl-a
2012-08-01,0.7813863910322502,0.001,148,Log Chl-a
2012-09-01,0.7700201101939962,0.001,147,Log Chl-a
2012-10-01,0.7762905595151286,0.001,116,Log Chl-a
2012-11-01,0.8866023599777868,0.001,130,Log Chl-a
2012-12-01,0.8074386335902493,0.001,146,Log Chl-a
2013-01-01,0.90327372211264,0.001,148,Log Chl-a
2013-02-01,0.9177405962341317,0.001,148,Log Chl-a
2013-03-01,0.9142939725542287,0.001,148,Log Chl-a
2013-04-01,0.7908917053843957,0.001,148,Log Chl-a
2013-05-01,0.7892081296364842,0.001,148,Log Chl-a
2013-06-01,0.820659403367962,0.001,148,Log Chl-a
2013-07-01,0.8346195019075694,0.001,148,Log Chl-a
2013-08-01,0.8223036299184842,0.001,148,Log Chl-a
2013-09-01,0.796055086191187,0.001,148,Log Chl-a
2013-10-01,0.827647639350716,0.001,148,Log Chl-a
2013-11-01,0.8628577709854502,0.001,144,Log Chl-a
2013-12-01,0.8148502572272749,0.001,147,Log Chl-a
2014-01-01,0.8080497588473968,0.001,147,Log Chl-a
2014-02-01,0.901222556534005,0.001,141,Log Chl-a
2014-03-01,0.8256511628414472,0.001,148,Log Chl-a
2014-04-01,0.7772020084889706,0.001,148,Log Chl-a
2014-05-01,0.8347195088247843,0.001,148,Log Chl-a
2014-06-01,0.8445614355412109,0.001,148,Log Chl-a
2014-07-01,0.8282154903810731,0.001,148,Log Chl-a
2014-08-01,0.83971030491456,0.001,148,Log Chl-a
2014-09-01,0.8044731870939812,0.001,148,Log Chl-a
2014-10-01,0.7700609173351601,0.001,130,Log Chl-a
2014-11-01,0.7752307942983452,0.001,135,Log Chl-a
2014-12-01,0.8437432482123971,0.001,145,Log Chl-a
2015-01-01,0.8909121624992966,0.001,148,Log Chl-a
2015-02-01,0.9062973634261089,0.001,148,Log Chl-a
2015-03-01,0.8863214344738033,0.001,148,Log Chl-a
2015-04-01,0.8331472121753418,0.001,148,Log Chl-a
2015-05-01,0.8501317473686782,0.001,148,Log Chl-a
2015-06-01,0.8566040708479238,0.001,148,Log Chl-a
2015-07-01,0.8086806618052653,0.001,148,Log Chl-a
2015-08-01,0.8240207256322908,0.001,148,Log Chl-a
2015-09-01,0.8017749071468915,0.001,147,Log Chl-a
2015-10-01,0.6128480862610666,0.001,86,Log Chl-a
2015-11-01,0.7695461390208329,0.001,143,Log Chl-a
2015-12-01,0.8291041195538406,0.001,148,Log Chl-a
2016-01-01,0.9075853845914276,0.001,148,Log Chl-a
2016-02-01,0.8901052337479635,0.001,148,Log Chl-a
2016-03-01,0.8953790054296961,0.001,148,Log Chl-a
2016-04-01,0.8876403241196267,0.001,148,Log Chl-a
2016-05-01,0.84336199228407,0.001,148,Log Chl-a
2016-06-01,0.8379288280895074,0.001,148,Log Chl-a
2016-07-01,0.8554332631241651,0.001,148,Log Chl-a
2016-08-01,0.8527964050526836,0.001,148,Log Chl-a
2016-09-01,0.7830306384776501,0.001,148,Log Chl-a
2016-10-01,0.8860382905753411,0.001,102,Log Chl-a
2016-11-01,0.8331354636629622,0.001,145,Log Chl-a
2016-12-01,0.8477919413063114,0.001,141,Log Chl-a
2017-01-01,0.8797729400830728,0.001,145,Log Chl-a
2017-02-01,0.9103249810776082,0.001,147,Log Chl-a
2017-03-01,0.851956977918423,0.001,148,Log Chl-a
2017-04-01,0.8072882785939,0.001,148,Log Chl-a
2017-05-01,0.8035352853023113,0.001,148,Log Chl-a
2017-06-01,0.7783803309702233,0.001,148,Log Chl-a
2017-07-01,0.8353277377000903,0.001,148,Log Chl-a
2017-08-01,0.8554311050274698,0.001,148,Log Chl-a
2017-09-01,0.6708689695909299,0.001,148,Log Chl-a
2017-10-01,0.7871495919294603,0.001,147,Log Chl-a
2017-11-01,0.7398121918901797,0.001,138,Log Chl-a
2017-12-01,0.7940326533116814,0.001,134,Log Chl-a
2018-01-01,0.8356850267209068,0.001,102,Log Chl-a
2018-02-01,0.9344663472777828,0.001,147,Log Chl-a
2018-03-01,0.9002391879298115,0.001,148,Log Chl-a
2018-04-01,0.7908637225181481,0.001,148,Log Chl-a
2018-05-01,0.8713601012944476,0.001,148,Log Chl-a
2018-06-01,0.8925111899288735,0.001,148,Log Chl-a
2018-07-01,0.8330000041416792,0.001,148,Log Chl-a
2018-08-01,0.8163707672551689,0.001,148,Log Chl-a
2018-09-01,0.7140103207931681,0.001,148,Log Chl-a
2018-10-01,0.6793846876097474,0.001,107,Log Chl-a
2018-11-01,0.8004524778034844,0.001,144,Log Chl-a
2018-12-01,0.87513036482848106,0.001,139,Log Chl-a
2019-01-01,0.8522402443373278,0.001,148,Log Chl-a
2019-02-01,0.9075796975929789,0.001,147,Log Chl-a
2019-03-01,0.8068419736887515,0.001,148,Log Chl-a
2019-04-01,0.8178963116175851,0.001,148,Log Chl-a
2019-05-01,0.8576405584960439,0.001,148,Log Chl-a
2019-06-01,0.7942727810742732,0.001,148,Log Chl-a
2019-07-01,0.8091389770418678,0.001,148,Log Chl-a
2019-08-01,0.7223364877599138,0.001,148,Log Chl-a
2019-09-01,0.7920019368478607,0.001,148,Log Chl-a
2019-10-01,0.7431656268310649,0.001,144,Log Chl-a
2019-11-01,0.7210914871861206,0.001,148,Log Chl-a
2019-12-01,0.7703290628301662,0.001,148,Log Chl-a
2020-01-01,0.7833704077275686,0.001,148,Log Chl-a
2020-02-01,0.8984054687092323,0.001,143,Log Chl-a
2020-03-01,0.8615280264455742,0.001,147,Log Chl-a
2020-04-01,0.7859053093114173,0.001,148,Log Chl-a
2020-05-01,0.8272762874848639,0.001,148,Log Chl-a
2020-06-01,0.8060007909830045,0.001,148,Log Chl-a
2020-07-01,0.8693534632866932,0.001,148,Log Chl-a
2020-08-01,0.8794832307032675,0.001,148,Log Chl-a
2020-09-01,0.818127809292351,0.001,145,Log Chl-a
2020-10-01,0.7859022649026542,0.001,129,Log Chl-a
2020-11-01,0.8192568035436996,0.001,131,Log Chl-a
2020-12-01,0.8103744105517805,0.001,142,Log Chl-a
2021-01-01,0.8624755768408942,0.001,104,Log Chl-a
2021-02-01,0.8661290871261421,0.001,147,Log Chl-a
2021-03-01,0.9114340206028588,0.001,148,Log Chl-a
2021-04-01,0.8407013773923973,0.001,148,Log Chl-a
2021-05-01,0.8591750057594794,0.001,148,Log Chl-a
2021-06-01,0.8912820872745487,0.001,148,Log Chl-a
2021-07-01,0.8603113409801114,0.001,148,Log Chl-a
2021-08-01,0.8002503083924695,0.001,148,Log Chl-a
2021-09-01,0.7738378729037129,0.001,148,Log Chl-a
2021-10-01,0.807781447061357,0.001,141,Log Chl-a
2021-11-01,0.8516367426001589,0.001,133,Log Chl-a
2021-12-01,0.8102397570710101,0.001,143,Log Chl-a
2022-01-01,0.9005288601936372,0.001,147,Log Chl-a
2022-02-01,0.935236259494351,0.001,146,Log Chl-a
2022-03-01,0.887097688161139,0.001,146,Log Chl-a
2022-04-01,0.8352013786114606,0.001,145,Log Chl-a
2022-05-01,0.8625789371849865,0.001,148,Log Chl-a
2022-06-01,0.8254255330173734,0.001,148,Log Chl-a
2022-07-01,0.8814811542245347,0.001,148,Log Chl-a
2022-08-01,0.8444173840999276,0.001,148,Log Chl-a
2022-09-01,0.8053120743311418,0.001,141,Log Chl-a
2022-10-01,0.8382909920707475,0.001,134,Log Chl-a
2022-11-01,0.8279875494806834,0.001,145,Log Chl-a
2022-12-01,0.845266903230365,0.001,96,Log Chl-a
2023-01-01,0.8360447022058011,0.001,144,Log Chl-a
2023-02-01,0.8687739263860864,0.001,141,Log Chl-a
2023-03-01,0.9028320489580183,0.001,148,Log Chl-a
2023-04-01,0.8615103661754362,0.001,148,Log Chl-a
2023-05-01,0.8218053927544022,0.001,148,Log Chl-a
2023-06-01,0.8516507043519496,0.001,148,Log Chl-a
2023-07-01,0.82052414322094,0.001,148,Log Chl-a
2023-08-01,0.7845119229224091,0.001,148,Log Chl-a
2023-09-01,0.8176647966529988,0.001,148,Log Chl-a
2023-10-01,0.8120046864333159,0.001,140,Log Chl-a
2023-11-01,0.8397870779776714,0.001,143,Log Chl-a
2023-12-01,0.7732552403592895,0.001,148,Log Chl-a
2024-01-01,0.747083640204836,0.001,144,Log Chl-a
2024-02-01,0.8953259283364121,0.001,148,Log Chl-a
2024-03-01,0.8859437135604042,0.001,148,Log Chl-a
2024-04-01,0.7577890153280777,0.001,147,Log Chl-a
2024-05-01,0.8313336096790516,0.001,148,Log Chl-a
2024-06-01,0.8835474618627629,0.001,148,Log Chl-a
2024-07-01,0.8354720928877819,0.001,148,Log Chl-a
2024-08-01,0.7424989881060574,0.001,146,Log Chl-a
2024-09-01,0.6661675966082429,0.001,148,Log Chl-a
2024-10-01,0.8291401567863165,0.001,148,Log Chl-a
2024-11-01,0.8027337494402657,0.001,132,Log Chl-a
2024-12-01,0.7787367559017636,0.001,103,Log Chl-a
2025-01-01,0.8889342817975363,0.001,148,Log Chl-a
2025-02-01,0.8814660130950129,0.001,142,Log Chl-a
2025-03-01,0.8504272505020927,0.001,148,Log Chl-a
2025-04-01,0.8507894196150704,0.001,148,Log Chl-a
2025-05-01,0.7930087691665528,0.001,148,Log Chl-a
2025-06-01,0.8435475935029066,0.001,148,Log Chl-a
2025-07-01,0.8785181192727005,0.001,148,Log Chl-a
2025-08-01,0.8073135784820449,0.001,148,Log Chl-a
2025-09-01,0.7875889756341207,0.001,140,Log Chl-a
2025-10-01,0.771714934119115,0.001,148,Log Chl-a
2025-11-01,0.8145313882884839,0.001,140,Log Chl-a
2025-12-01,0.8117594723440895,0.001,144,Log Chl-a
2003-01-01,0.6989173515708451,0.001,148,Anomali log Chl-a
