grid_1,grid_2,distance_degree,neighbor,correlation,distance_group
G025_R380_C1132,G025_R380_C1133,0.25,TRUE,0.9340423517395668,"[0,0.26]"
G025_R380_C1132,G025_R380_C1134,0.5,FALSE,0.804200997678589,"(0.26,0.51]"
G025_R380_C1133,G025_R380_C1134,0.25,TRUE,0.9029858181116787,"[0,0.26]"
G025_R380_C1132,G025_R380_C1135,0.75,FALSE,0.7551748405330381,"(0.51,0.76]"
G025_R380_C1133,G025_R380_C1135,0.5,FALSE,0.7739382463249276,"(0.26,0.51]"
G025_R380_C1134,G025_R380_C1135,0.25,TRUE,0.8769262667143748,"[0,0.26]"
G025_R380_C1132,G025_R380_C1143,2.75,FALSE,0.023893060792887322,"(1.51,Inf]"
G025_R380_C1133,G025_R380_C1143,2.5,FALSE,0.04217676723644252,"(1.51,Inf]"
G025_R380_C1134,G025_R380_C1143,2.25,FALSE,0.08484165185148186,"(1.51,Inf]"
G025_R380_C1135,G025_R380_C1143,2,FALSE,0.010341025269350004,"(1.51,Inf]"
G025_R380_C1132,G025_R380_C1144,3,FALSE,0.20300312484287225,"(1.51,Inf]"
G025_R380_C1133,G025_R380_C1144,2.75,FALSE,0.2191221798408917,"(1.51,Inf]"
G025_R380_C1134,G025_R380_C1144,2.5,FALSE,0.18536022145368108,"(1.51,Inf]"
G025_R380_C1135,G025_R380_C1144,2.25,FALSE,0.09920467330685104,"(1.51,Inf]"
G025_R380_C1143,G025_R380_C1144,0.25,TRUE,0.2586797175135521,"[0,0.26]"
G025_R380_C1132,G025_R380_C1145,3.25,FALSE,0.11066085979387344,"(1.51,Inf]"
G025_R380_C1133,G025_R380_C1145,3,FALSE,0.11160970046311619,"(1.51,Inf]"
G025_R380_C1134,G025_R380_C1145,2.75,FALSE,0.09380208169476353,"(1.51,Inf]"
G025_R380_C1135,G025_R380_C1145,2.5,FALSE,0.06352469780078933,"(1.51,Inf]"
G025_R380_C1143,G025_R380_C1145,0.5,FALSE,0.1822505687264804,"(0.26,0.51]"
G025_R380_C1144,G025_R380_C1145,0.25,TRUE,0.6319963565384877,"[0,0.26]"
G025_R380_C1132,G025_R380_C1146,3.5,FALSE,0.059293387583867735,"(1.51,Inf]"
G025_R380_C1133,G025_R380_C1146,3.25,FALSE,0.03242833823540963,"(1.51,Inf]"
G025_R380_C1134,G025_R380_C1146,3,FALSE,-0.013522269511523867,"(1.51,Inf]"
G025_R380_C1135,G025_R380_C1146,2.75,FALSE,-0.0061515540750890375,"(1.51,Inf]"
G025_R380_C1143,G025_R380_C1146,0.75,FALSE,0.0680694863313712,"(0.51,0.76]"
G025_R380_C1144,G025_R380_C1146,0.5,FALSE,0.3922141944943328,"(0.26,0.51]"
G025_R380_C1145,G025_R380_C1146,0.25,TRUE,0.6931888763665527,"[0,0.26]"
G025_R380_C1132,G025_R380_C1147,3.75,FALSE,0.02078437985032567,"(1.51,Inf]"
G025_R380_C1133,G025_R380_C1147,3.5,FALSE,0.020805734111267515,"(1.51,Inf]"
G025_R380_C1134,G025_R380_C1147,3.25,FALSE,-0.01689412977649255,"(1.51,Inf]"
G025_R380_C1135,G025_R380_C1147,3,FALSE,-0.005664020560642389,"(1.51,Inf]"
G025_R380_C1143,G025_R380_C1147,1,FALSE,0.029325411871954494,"(0.76,1.01]"
G025_R380_C1144,G025_R380_C1147,0.75,FALSE,0.24090778242147795,"(0.51,0.76]"
G025_R380_C1145,G025_R380_C1147,0.5,FALSE,0.41028724750313783,"(0.26,0.51]"
G025_R380_C1146,G025_R380_C1147,0.25,TRUE,0.7464411457523461,"[0,0.26]"
G025_R380_C1132,G025_R381_C1132,0.25,TRUE,0.9452051370438067,"[0,0.26]"
G025_R380_C1133,G025_R381_C1132,0.3535533905932738,FALSE,0.87910669887374,"(0.26,0.51]"
G025_R380_C1134,G025_R381_C1132,0.5590169943749475,FALSE,0.7795682753659431,"(0.51,0.76]"
G025_R380_C1135,G025_R381_C1132,0.7905694150420949,FALSE,0.723773467462185,"(0.76,1.01]"
G025_R380_C1143,G025_R381_C1132,2.7613402542968153,FALSE,0.08990195578912859,"(1.51,Inf]"
G025_R380_C1144,G025_R381_C1132,3.010398644698074,FALSE,0.21538176272110376,"(1.51,Inf]"
G025_R380_C1145,G025_R381_C1132,3.2596012026013246,FALSE,0.09903901918865404,"(1.51,Inf]"
G025_R380_C1146,G025_R381_C1132,3.5089172119045497,FALSE,0.03663514157735266,"(1.51,Inf]"
G025_R380_C1147,G025_R381_C1132,3.758324094593227,FALSE,0.009785670771782683,"(1.51,Inf]"
G025_R380_C1132,G025_R381_C1133,0.3535533905932738,FALSE,0.9592294487017676,"(0.26,0.51]"
G025_R380_C1133,G025_R381_C1133,0.25,TRUE,0.9227098933223659,"[0,0.26]"
G025_R380_C1134,G025_R381_C1133,0.3535533905932738,FALSE,0.8066654672467494,"(0.26,0.51]"
G025_R380_C1135,G025_R381_C1133,0.5590169943749475,FALSE,0.7259385943587624,"(0.51,0.76]"
G025_R380_C1143,G025_R381_C1133,2.5124689052802225,FALSE,0.06587103006990276,"(1.51,Inf]"
G025_R380_C1144,G025_R381_C1133,2.7613402542968153,FALSE,0.21433509525342803,"(1.51,Inf]"
G025_R380_C1145,G025_R381_C1133,3.010398644698074,FALSE,0.1172833437114479,"(1.51,Inf]"
G025_R380_C1146,G025_R381_C1133,3.2596012026013246,FALSE,0.050951751412658,"(1.51,Inf]"
G025_R380_C1147,G025_R381_C1133,3.5089172119045497,FALSE,0.02307477707530383,"(1.51,Inf]"
G025_R381_C1132,G025_R381_C1133,0.25,TRUE,0.9598620052540454,"[0,0.26]"
G025_R380_C1132,G025_R381_C1134,0.5590169943749475,FALSE,0.9083028263064593,"(0.51,0.76]"
G025_R380_C1133,G025_R381_C1134,0.3535533905932738,FALSE,0.9272495766208003,"(0.26,0.51]"
G025_R380_C1134,G025_R381_C1134,0.25,TRUE,0.871455145574066,"[0,0.26]"
G025_R380_C1135,G025_R381_C1134,0.3535533905932738,FALSE,0.7412124938940077,"(0.26,0.51]"
G025_R380_C1143,G025_R381_C1134,2.2638462845343543,FALSE,0.05022129655340501,"(1.51,Inf]"
G025_R380_C1144,G025_R381_C1134,2.5124689052802225,FALSE,0.21749279545144984,"(1.51,Inf]"
G025_R380_C1145,G025_R381_C1134,2.7613402542968153,FALSE,0.12540418379411344,"(1.51,Inf]"
G025_R380_C1146,G025_R381_C1134,3.010398644698074,FALSE,0.06362201134734548,"(1.51,Inf]"
G025_R380_C1147,G025_R381_C1134,3.2596012026013246,FALSE,0.025844947724317103,"(1.51,Inf]"
