lag,median_acf,q25,q75
1,0.5947191901094736,0.47198891532286935,0.6342562427419887
2,0.38204118214956184,0.2988547332596503,0.4172367201408965
3,0.257069257008657,0.21046524327638336,0.2876001290517048
4,0.1625130720815824,0.1309996988321645,0.1937545743026469
5,0.08733079482075252,0.04573283803660179,0.1295496004463712
6,0.04008723730633725,0.012785885028650697,0.08345083061921439
7,0.030778480953060555,0.0049700547054857295,0.07155695233186861
8,0.0347502663255507,0.01073155103406587,0.07122917017566457
9,0.04308081628556597,-2.898437236645247e-5,0.07833332728656021
10,0.029086424752390365,-0.013442979839643848,0.06521704437376044
11,-0.016110978163386483,-0.054218500670216316,0.023751370930717386
12,-0.09212378907499166,-0.12867564074515345,-0.05496426768524211
13,-0.12108082805231274,-0.15234261814214736,-0.06104557571260634
14,-0.12476967196880309,-0.1625863905078108,-0.0617965168861823
15,-0.08959674331783726,-0.11835042664807402,-0.047284130942245164
16,-0.05454724996275433,-0.09263266181796478,-0.009139148443540258
17,-0.03485420563259654,-0.0696187444648303,-4.110057665452887e-4
18,-0.0035766278511847457,-0.028026467147163406,0.027209394355354535
19,0.008712451507799777,-0.019857702390977477,0.03766654118255424
20,-0.028830683663888714,-0.04665240500417645,-0.0032849850308442046
21,-0.07639190767190937,-0.10004884346368798,-0.040269662167472714
22,-0.14095642000719774,-0.16421436004386608,-0.09263643200028751
23,-0.21136391782418998,-0.24769562549458252,-0.15161954999943061
24,-0.2514584715290513,-0.289332750775153,-0.18057565216679466
