predictor,lag_months,n_pairs,pearson_r,spearman_rho
sst_mean_c,0,276,-0.7451073115594526,-0.5235330546082391
sst_mean_c,1,275,-0.6087580172075014,-0.3708813940740313
sst_mean_c,2,274,-0.32049738732822664,-0.08267498924433232
sst_mean_c,3,273,-0.034778853154922885,0.17700199113895979
sst_anomaly_mean_c,0,276,-0.6627100140553561,-0.358022859262853
sst_anomaly_mean_c,1,275,-0.5627649556218065,-0.36185049479241804
sst_anomaly_mean_c,2,274,-0.3660766921855394,-0.26066109073408344
sst_anomaly_mean_c,3,273,-0.2023094546842687,-0.20143119010658728
u10_mean_m_s,0,276,-0.4644471778060399,-0.7400265407171702
u10_mean_m_s,1,275,-0.49043657170226657,-0.6693401806064453
u10_mean_m_s,2,274,-0.4303330993443307,-0.45833611643830624
u10_mean_m_s,3,273,-0.31098704711490194,-0.17768909922194592
v10_mean_m_s,0,276,0.5599305622681583,0.7420236583382086
v10_mean_m_s,1,275,0.5083040492639211,0.5832895761807217
v10_mean_m_s,2,274,0.37777162509131285,0.3226784893938179
v10_mean_m_s,3,273,0.2290055642023459,0.07013397722929711
wind_speed_mean_m_s,0,276,0.487009332837135,0.5687287567243619
wind_speed_mean_m_s,1,275,0.5059221598514129,0.5192417991402442
wind_speed_mean_m_s,2,274,0.3742372898347619,0.2997945120572858
wind_speed_mean_m_s,3,273,0.18157751066894712,0.015372347703820441
